geo_code,csd_name,topic,characteristic,total,year
5926014,Cumberland,Labour force status,Unemployment rate,7.6,2011
5926014,Cumberland,Income of individuals in 2010,Median income ($),27130,2011
5926014,Cumberland,Income of individuals in 2010,Median total income ($),24041,2011
5926014,Cumberland,Income of households in 2010,Median household total income ($),51809,2011
5926014,Cumberland,Income of households in 2010,Median household total income ($),30622,2011
5926014,Cumberland,Income of households in 2010,Median household total income ($),58847,2011
5926021,Comox Valley A,Labour force status,Employment rate,55,2011
5926021,Comox Valley A,Labour force status,Unemployment rate,5.5,2011
5926021,Comox Valley A,Income of individuals in 2010,Median income ($),26107,2011
5926021,Comox Valley A,Income of individuals in 2010,Median total income ($),26183,2011
5926021,Comox Valley A,Income of households in 2010,Median household total income ($),50650,2011
5926021,Comox Valley A,Income of households in 2010,Median household total income ($),26114,2011
5926021,Comox Valley A,Income of households in 2010,Median household total income ($),61491,2011
5926022,Comox Valley B (Lazo North),Labour force status,Employment rate,57.6,2011
5926022,Comox Valley B (Lazo North),Labour force status,Unemployment rate,8.8,2011
5926022,Comox Valley B (Lazo North),Income of individuals in 2010,Median income ($),28347,2011
5926022,Comox Valley B (Lazo North),Income of individuals in 2010,Median total income ($),25638,2011
5926022,Comox Valley B (Lazo North),Income of households in 2010,Median household total income ($),62178,2011
5926022,Comox Valley B (Lazo North),Income of households in 2010,Median household total income ($),29722,2011
5926022,Comox Valley B (Lazo North),Income of households in 2010,Median household total income ($),68645,2011
5926024,Comox Valley C (Puntledge - Black Creek),Labour force status,Employment rate,60.1,2011
5926024,Comox Valley C (Puntledge - Black Creek),Labour force status,Unemployment rate,8.3,2011
5926024,Comox Valley C (Puntledge - Black Creek),Income of individuals in 2010,Median income ($),29966,2011
5926024,Comox Valley C (Puntledge - Black Creek),Income of individuals in 2010,Median total income ($),28946,2011
5926024,Comox Valley C (Puntledge - Black Creek),Income of households in 2010,Median household total income ($),64166,2011
5926024,Comox Valley C (Puntledge - Black Creek),Income of households in 2010,Median household total income ($),31038,2011
5926024,Comox Valley C (Puntledge - Black Creek),Income of households in 2010,Median household total income ($),75714,2011
5926801,Comox 1,Labour force status,Employment rate,36.8,2011
5926801,Comox 1,Labour force status,Unemployment rate,30,2011
5926801,Comox 1,Income of individuals in 2010,Median income ($),NA,2011
5926801,Comox 1,Income of individuals in 2010,Median total income ($),NA,2011
5926801,Comox 1,Income of households in 2010,Median household total income ($),NA,2011
5926801,Comox 1,Income of households in 2010,Median household total income ($),NA,2011
5927008,Powell River,Labour force status,Employment rate,49.3,2011
5927008,Powell River,Labour force status,Unemployment rate,8,2011
5927008,Powell River,Income of individuals in 2010,Median income ($),27362,2011
5927008,Powell River,Income of individuals in 2010,Median total income ($),26158,2011
5927008,Powell River,Income of households in 2010,Median household total income ($),50850,2011
5927008,Powell River,Income of households in 2010,Median household total income ($),27924,2011
5927008,Powell River,Income of households in 2010,Median household total income ($),64897,2011
5927012,Powell River B,Labour force status,Employment rate,42.2,2011
5927012,Powell River B,Labour force status,Unemployment rate,7.6,2011
5927012,Powell River B,Income of individuals in 2010,Median income ($),24325,2011
5927012,Powell River B,Income of individuals in 2010,Median total income ($),36948,2011
5927012,Powell River B,Income of households in 2010,Median household total income ($),55909,2011
5927012,Powell River B,Income of households in 2010,Median household total income ($),39003,2011
5927012,Powell River B,Income of households in 2010,Median household total income ($),62078,2011
5927018,Powell River D,Labour force status,Employment rate,44.3,2011
5927018,Powell River D,Labour force status,Unemployment rate,9.1,2011
5927018,Powell River D,Income of individuals in 2010,Median income ($),19530,2011
5927018,Powell River D,Income of individuals in 2010,Median total income ($),20495,2011
5927018,Powell River D,Income of households in 2010,Median household total income ($),34803,2011
5927018,Powell River D,Income of households in 2010,Median household total income ($),22410,2011
5927018,Powell River D,Income of households in 2010,Median household total income ($),45095,2011
5927020,Powell River E,Labour force status,Employment rate,60.9,2011
5927020,Powell River E,Labour force status,Unemployment rate,19.2,2011
5927020,Powell River E,Income of individuals in 2010,Median income ($),16585,2011
5927020,Powell River E,Income of individuals in 2010,Median total income ($),13775,2011
5927020,Powell River E,Income of households in 2010,Median household total income ($),28160,2011
5927020,Powell River E,Income of households in 2010,Median household total income ($),13775,2011
5927020,Powell River E,Income of households in 2010,Median household total income ($),32037,2011
5927802,Sliammon 1,Labour force status,Employment rate,32.7,2011
5927802,Sliammon 1,Labour force status,Unemployment rate,23.3,2011
5927802,Sliammon 1,Income of individuals in 2010,Median income ($),15110,2011
5927802,Sliammon 1,Income of individuals in 2010,Median total income ($),9146,2011
5927802,Sliammon 1,Income of households in 2010,Median household total income ($),23370,2011
5927802,Sliammon 1,Income of households in 2010,Median household total income ($),10546,2011
5927802,Sliammon 1,Income of households in 2010,Median household total income ($),34988,2011
5929005,Gibsons,Labour force status,Employment rate,54.1,2011
5929005,Gibsons,Labour force status,Unemployment rate,4.3,2011
5929005,Gibsons,Income of individuals in 2010,Median income ($),28826,2011
5929005,Gibsons,Income of individuals in 2010,Median total income ($),35675,2011
5929005,Gibsons,Income of households in 2010,Median household total income ($),54088,2011
5929005,Gibsons,Income of households in 2010,Median household total income ($),39065,2011
5929005,Gibsons,Income of households in 2010,Median household total income ($),65160,2011
5929011,Sechelt,Labour force status,Employment rate,54.1,2011
5929011,Sechelt,Labour force status,Unemployment rate,7.8,2011
5929011,Sechelt,Income of individuals in 2010,Median income ($),29560,2011
5929011,Sechelt,Income of individuals in 2010,Median total income ($),28794,2011
5929011,Sechelt,Income of households in 2010,Median household total income ($),56830,2011
5929011,Sechelt,Income of households in 2010,Median household total income ($),32428,2011
5929011,Sechelt,Income of households in 2010,Median household total income ($),73355,2011
5929018,Sunshine Coast A,Labour force status,Employment rate,41.9,2011
5929018,Sunshine Coast A,Labour force status,Unemployment rate,12.2,2011
5929018,Sunshine Coast A,Income of individuals in 2010,Median income ($),29716,2011
5929018,Sunshine Coast A,Income of individuals in 2010,Median total income ($),32477,2011
5929018,Sunshine Coast A,Income of households in 2010,Median household total income ($),50132,2011
5929018,Sunshine Coast A,Income of households in 2010,Median household total income ($),36755,2011
5929018,Sunshine Coast A,Income of households in 2010,Median household total income ($),61886,2011
5929022,Sunshine Coast B,Labour force status,Employment rate,53.2,2011
5929022,Sunshine Coast B,Labour force status,Unemployment rate,6.5,2011
5929022,Sunshine Coast B,Income of individuals in 2010,Median income ($),32783,2011
5929022,Sunshine Coast B,Income of individuals in 2010,Median total income ($),24351,2011
5929022,Sunshine Coast B,Income of households in 2010,Median household total income ($),61632,2011
5929022,Sunshine Coast B,Income of households in 2010,Median household total income ($),37788,2011
5929022,Sunshine Coast B,Income of households in 2010,Median household total income ($),74371,2011
5929024,Sunshine Coast D,Labour force status,Employment rate,61.7,2011
5929024,Sunshine Coast D,Labour force status,Unemployment rate,7.9,2011
5929024,Sunshine Coast D,Income of individuals in 2010,Median income ($),24606,2011
5929024,Sunshine Coast D,Income of individuals in 2010,Median total income ($),17147,2011
5929024,Sunshine Coast D,Income of households in 2010,Median household total income ($),53539,2011
5929024,Sunshine Coast D,Income of households in 2010,Median household total income ($),17112,2011
5929024,Sunshine Coast D,Income of households in 2010,Median household total income ($),70724,2011
5929026,Sunshine Coast E,Labour force status,Employment rate,60.7,2011
5929026,Sunshine Coast E,Labour force status,Unemployment rate,5,2011
5929026,Sunshine Coast E,Income of individuals in 2010,Median income ($),27838,2011
5929026,Sunshine Coast E,Income of individuals in 2010,Median total income ($),22600,2011
5929026,Sunshine Coast E,Income of households in 2010,Median household total income ($),65116,2011
5929026,Sunshine Coast E,Income of households in 2010,Median household total income ($),28984,2011
5929026,Sunshine Coast E,Income of households in 2010,Median household total income ($),77162,2011
5929028,Sunshine Coast F,Labour force status,Employment rate,59.8,2011
5929028,Sunshine Coast F,Labour force status,Unemployment rate,7.4,2011
5929028,Sunshine Coast F,Income of individuals in 2010,Median income ($),31934,2011
5929028,Sunshine Coast F,Income of individuals in 2010,Median total income ($),30732,2011
5929028,Sunshine Coast F,Income of households in 2010,Median household total income ($),63311,2011
5929028,Sunshine Coast F,Income of households in 2010,Median household total income ($),25969,2011
5929028,Sunshine Coast F,Income of households in 2010,Median household total income ($),68470,2011
5929803,Sechelt (Part),Labour force status,Employment rate,41.4,2011
5929803,Sechelt (Part),Labour force status,Unemployment rate,8.5,2011
5929803,Sechelt (Part),Income of individuals in 2010,Median income ($),20046,2011
5929803,Sechelt (Part),Income of individuals in 2010,Median total income ($),20600,2011
5929803,Sechelt (Part),Income of households in 2010,Median household total income ($),34952,2011
5929803,Sechelt (Part),Income of households in 2010,Median household total income ($),20598,2011
5929803,Sechelt (Part),Income of households in 2010,Median household total income ($),48245,2011
5931006,Squamish,Labour force status,Employment rate,69.9,2011
5931006,Squamish,Labour force status,Unemployment rate,8.1,2011
5931006,Squamish,Income of individuals in 2010,Median income ($),33799,2011
5931006,Squamish,Income of individuals in 2010,Median total income ($),25925,2011
5931006,Squamish,Income of households in 2010,Median household total income ($),72751,2011
5931006,Squamish,Income of households in 2010,Median household total income ($),32180,2011
5931006,Squamish,Income of households in 2010,Median household total income ($),85657,2011
5931020,Whistler,Labour force status,Employment rate,75.8,2011
5931020,Whistler,Labour force status,Unemployment rate,8.7,2011
5931020,Whistler,Income of individuals in 2010,Median income ($),32432,2011
5931020,Whistler,Income of individuals in 2010,Median total income ($),30511,2011
5931020,Whistler,Income of households in 2010,Median household total income ($),65757,2011
